"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 제천시 강제동,903,강제코아루파크,63.31,11~20,"16,400",16,2015,청풍호로10길
 충청북도 제천시 강제동,903,강제코아루파크,84.4,11~20,"22,000",9,2015,청풍호로10길
 충청북도 제천시 강제동,805,센트럴코아루,76.46,1~10,"19,500",4,2016,강저로11나길
 충청북도 제천시 고암동,1142,고암두진4차,33,11~20,"4,700",10,2000,용두천로
 충청북도 제천시 고암동,1142,고암두진4차,33,11~20,"4,700",10,2000,용두천로
 충청북도 제천시 고암동,1142,고암두진4차,33,11~20,"4,600",12,2000,용두천로
 충청북도 제천시 고암동,1142,고암두진4차,33,21~31,"4,600",5,2000,용두천로
 충청북도 제천시 고암동,1250,고암주공1,47.25,21~31,"4,800",2,1986,고암로14길
 충청북도 제천시 고암동,1250,고암주공2,47.1,11~20,"5,800",1,1987,고암로14길
 충청북도 제천시 고암동,1129-1,금용,72.12,21~31,"8,900",14,1993,용두천로44길
 충청북도 제천시 고암동,1101,두진백로,60,1~10,"12,000",7,1997,용두천로
 충청북도 제천시 고암동,1101,두진백로,84.9,21~31,"15,500",8,1997,용두천로
 충청북도 제천시 고암동,1254,보미파란채,85,11~20,"19,000",1,2009,용두천로46길
 충청북도 제천시 고암동,1254,보미파란채,85,21~31,"20,200",5,2009,용두천로46길
 충청북도 제천시 고암동,1163-1,부강,58.93,1~10,"5,850",5,1988,고암로
 충청북도 제천시 교동,1-1,두진,59.97,1~10,"8,800",6,1994,독순로23길
 충청북도 제천시 교동,1-1,두진,59.97,1~10,"8,800",3,1994,독순로23길
 충청북도 제천시 교동,1-1,두진,84.01,21~31,"10,700",6,1994,독순로23길
 충청북도 제천시 동현동,63-1,세경,38.88,11~20,"3,550",2,1989,의병대로30길
 충청북도 제천시 동현동,63-1,세경,56.88,1~10,"5,300",3,1989,의병대로30길
 충청북도 제천시 동현동,109,일동,59.97,11~20,"8,150",13,1997,의병대로
 충청북도 제천시 동현동,29-2,현대,84.93,11~20,"12,500",10,1992,독순로
 충청북도 제천시 동현동,29-2,현대,84.93,11~20,"11,300",15,1992,독순로
 충청북도 제천시 동현동,29-2,현대,84.93,11~20,"12,300",13,1992,독순로
 충청북도 제천시 명동,174-2,진보하이스트,59.96,1~10,"17,245",12,2013,의병대로14길
 충청북도 제천시 명동,174-2,진보하이스트,59.96,1~10,"16,400",19,2013,의병대로14길
